precusor	mature	alias
hsa-mir-5787	hsa-miR-5787	mir-5787/5787
hsa-mir-6068	hsa-miR-6068	mir-6068/6068
hsa-mir-6069	hsa-miR-6069	mir-6069/6069
hsa-mir-6070	hsa-miR-6070	mir-6070/6070
hsa-mir-6073	hsa-miR-6073	mir-6073/6073
hsa-mir-6074	hsa-miR-6074	mir-6074/6074
hsa-mir-6076	hsa-miR-6076	mir-6076/6076
hsa-mir-6078	hsa-miR-6078	mir-6078/6078
hsa-mir-6079	hsa-miR-6079	mir-6079/6079
hsa-mir-6080	hsa-miR-6080	mir-6080/6080
hsa-mir-6083	hsa-miR-6083	mir-6083/6083
hsa-mir-6084	hsa-miR-6084	mir-6084/6084
hsa-mir-6085	hsa-miR-6085	mir-6085/6085
hsa-mir-6087	hsa-miR-6087	mir-6087/6087
hsa-mir-6088	hsa-miR-6088	mir-6088/6088
hsa-mir-6089-1	hsa-miR-6089	mir-6089-1/6089
hsa-mir-6125	hsa-miR-6125	mir-6125/6125
hsa-mir-6126	hsa-miR-6126	mir-6126/6126
hsa-mir-6128	hsa-miR-6128	mir-6128/6128
hsa-mir-378j	hsa-miR-378j	mir-378j/378j
hsa-mir-6129	hsa-miR-6129	mir-6129/6129
hsa-mir-6131	hsa-miR-6131	mir-6131/6131
hsa-mir-99b	hsa-miR-99b-5p	mir-99b/5p
hsa-mir-99b	hsa-miR-99b-3p	mir-99b/3p
hsa-mir-99b	hsa-miR-99b	mir-99b/99b
hsa-mir-99b	hsa-miR-99b*	mir-99b/99b*
hsa-mir-99a	hsa-miR-99a-5p	mir-99a/5p
hsa-mir-6134	hsa-miR-6134	mir-6134/6134
hsa-mir-6165	hsa-miR-6165	mir-6165/6165
hsa-mir-99a	hsa-miR-99a-3p	mir-99a/3p
hsa-mir-99a	hsa-miR-99a	mir-99a/99a
hsa-mir-99a	hsa-miR-99a*	mir-99a/99a*
hsa-mir-99-21	hsa-miR-99a-5p	mir-99-21/5p
hsa-mir-99-21	hsa-miR-99a-3p	mir-99-21/3p
hsa-mir-99-21	hsa-miR-99a	mir-99-21/99a
hsa-mir-99	hsa-miR-99a-5p	mir-99/5p
hsa-mir-99	hsa-miR-99a-3p	mir-99/3p
hsa-mir-99	hsa-miR-99a	mir-99/99a
hsa-mir-9851	hsa-miR-9851-5p	mir-9851/5p
hsa-mir-9851	hsa-miR-9851-3p	mir-9851/3p
hsa-mir-98-X	hsa-miR-98-5p	mir-98-X/5p
hsa-mir-98-X	hsa-miR-98	mir-98-X/98
hsa-mir-98-X	hsa-miR-98-3p	mir-98-X/3p
hsa-mir-98	hsa-miR-98-5p	mir-98/5p
hsa-mir-98	hsa-miR-98-3p	mir-98/3p
hsa-mir-98	hsa-miR-98	mir-98/98
hsa-mir-96-7	hsa-miR-96-5p	mir-96-7/5p
hsa-mir-96-7	hsa-miR-96	mir-96-7/96
hsa-mir-96-7	hsa-miR-96-3p	mir-96-7/3p
hsa-mir-96	hsa-miR-96-5p	mir-96/5p
hsa-mir-96	hsa-miR-96-3p	mir-96/3p
hsa-mir-96	hsa-miR-96	mir-96/96
hsa-mir-96	hsa-miR-96*	mir-96/96*
hsa-mir-95-4	hsa-miR-95-3p	mir-95-4/3p
hsa-mir-95-4	hsa-miR-95-5p	mir-95-4/5p
hsa-mir-95	hsa-miR-95-3p	mir-95/3p
hsa-mir-95	hsa-miR-95-5p	mir-95/5p
hsa-mir-95	hsa-miR-95	mir-95/95
hsa-mir-942	hsa-miR-942-5p	mir-942/5p
hsa-mir-942	hsa-miR-942-3p	mir-942/3p
hsa-mir-942	hsa-miR-942	mir-942/942
hsa-mir-937	hsa-miR-937-5p	mir-937/5p
hsa-mir-937	hsa-miR-937-3p	mir-937/3p
hsa-mir-937	hsa-miR-937	mir-937/937
hsa-mir-93-7.1	hsa-miR-93-5p	mir-93-7.1/5p
hsa-mir-93-7.1	hsa-miR-93	mir-93-7.1/93
hsa-mir-93-7.1	hsa-miR-93-3p	mir-93-7.1/3p
hsa-mir-93-1	hsa-miR-93-5p	mir-93-1/5p
hsa-mir-93-1	hsa-miR-93	mir-93-1/93
hsa-mir-93-1	hsa-miR-93-3p	mir-93-1/3p
hsa-mir-93	hsa-miR-93-5p	mir-93/5p
hsa-mir-93	hsa-miR-93-3p	mir-93/3p
hsa-mir-93	hsa-miR-93	mir-93/93
hsa-mir-93	hsa-miR-93*	mir-93/93*
hsa-mir-92b	hsa-miR-92b-5p	mir-92b/5p
hsa-mir-92b	hsa-miR-92b-3p	mir-92b/3p
hsa-mir-92b	hsa-miR-92b*	mir-92b/92b*
hsa-mir-92b	hsa-miR-92b	mir-92b/92b
hsa-mir-92a-2	hsa-miR-92a-2-5p	mir-92a-2/5p
hsa-mir-92a-2	hsa-miR-92a-3p	mir-92a-2/3p
hsa-mir-92a-2	hsa-miR-92	mir-92a-2/92
hsa-mir-92a-2	hsa-miR-92a-2*	mir-92a-2/2*
hsa-mir-92a-2	hsa-miR-92a	mir-92a-2/92a
hsa-mir-92a-1	hsa-miR-92a-1-5p	mir-92a-1/5p
hsa-mir-92a-1	hsa-miR-92a-3p	mir-92a-1/3p
hsa-mir-92a-1	hsa-miR-92	mir-92a-1/92
hsa-mir-92a-1	hsa-miR-92a-1*	mir-92a-1/1*
hsa-mir-92a-1	hsa-miR-92a	mir-92a-1/92a
hsa-mir-92-X	hsa-miR-92a-2-5p	mir-92-X/5p
hsa-mir-92-X	hsa-miR-92a-3p	mir-92-X/3p
hsa-mir-92-X	hsa-miR-92	mir-92-X/92
hsa-mir-92-X	hsa-miR-92a	mir-92-X/92a
hsa-mir-92-2	hsa-miR-92a-2-5p	mir-92-2/5p
hsa-mir-92-2	hsa-miR-92a-3p	mir-92-2/3p
hsa-mir-92-2	hsa-miR-92	mir-92-2/92
hsa-mir-92-2	hsa-miR-92a	mir-92-2/92a
hsa-mir-92-13	hsa-miR-92a-1-5p	mir-92-13/5p
hsa-mir-92-13	hsa-miR-92a-3p	mir-92-13/3p
hsa-mir-544a	hsa-miR-544a	mir-544a/544a
hsa-mir-92-13	hsa-miR-92	mir-92-13/92
hsa-mir-92-13	hsa-miR-92a	mir-92-13/92a
hsa-mir-92-1	hsa-miR-92a-1-5p	mir-92-1/5p
hsa-mir-92-1	hsa-miR-92a-3p	mir-92-1/3p
hsa-mir-92-1	hsa-miR-92	mir-92-1/92
hsa-mir-92-1	hsa-miR-92a	mir-92-1/92a
hsa-mir-9-3	hsa-miR-9-5p	mir-9-3/5p
hsa-mir-9-3	hsa-miR-9	mir-9-3/9
hsa-mir-9-3	hsa-miR-9*	mir-9-3/9*
hsa-mir-9-2	hsa-miR-9-5p	mir-9-2/5p
hsa-mir-9-2	hsa-miR-9-3p	mir-9-2/3p
hsa-mir-9-2	hsa-miR-9	mir-9-2/9
hsa-mir-9-2	hsa-miR-9*	mir-9-2/9*
hsa-mir-9-1	hsa-miR-9-5p	mir-9-1/5p
hsa-mir-9-1	hsa-miR-9-3p	mir-9-1/3p
hsa-mir-9-1	hsa-miR-9	mir-9-1/9
hsa-mir-9-1	hsa-miR-9*	mir-9-1/9*
hsa-mir-892c	hsa-miR-892c-5p	mir-892c/5p
hsa-mir-892c	hsa-miR-892c-3p	mir-892c/3p
hsa-mir-891a	hsa-miR-891a-5p	mir-891a/5p
hsa-mir-891a	hsa-miR-891a-3p	mir-891a/3p
hsa-mir-891a	hsa-miR-891a	mir-891a/891a
hsa-mir-889	hsa-miR-889-5p	mir-889/5p
hsa-mir-889	hsa-miR-889-3p	mir-889/3p
hsa-mir-889	hsa-miR-889	mir-889/889
hsa-mir-888	hsa-miR-888-5p	mir-888/5p
hsa-mir-888	hsa-miR-888-3p	mir-888/3p
hsa-mir-888	hsa-miR-888	mir-888/888
hsa-mir-888	hsa-miR-888*	mir-888/888*
hsa-mir-887	hsa-miR-887-5p	mir-887/5p
hsa-mir-887	hsa-miR-887-3p	mir-887/3p
hsa-mir-887	hsa-miR-887	mir-887/887
hsa-mir-885	hsa-miR-885-5p	mir-885/5p
hsa-mir-885	hsa-miR-885-3p	mir-885/3p
hsa-mir-885	hsa-miR-885-5p	mir-885/5p
hsa-mir-885	hsa-miR-885-3p	mir-885/3p
hsa-mir-877	hsa-miR-877-5p	mir-877/5p
hsa-mir-877	hsa-miR-877-3p	mir-877/3p
hsa-mir-877	hsa-miR-877	mir-877/877
hsa-mir-877	hsa-miR-877*	mir-877/877*
hsa-mir-876	hsa-miR-876-5p	mir-876/5p
hsa-mir-876	hsa-miR-876-3p	mir-876/3p
hsa-mir-875	hsa-miR-875-5p	mir-875/5p
hsa-mir-875	hsa-miR-875-3p	mir-875/3p
hsa-mir-874	hsa-miR-874-5p	mir-874/5p
hsa-mir-874	hsa-miR-874-3p	mir-874/3p
hsa-mir-874	hsa-miR-874	mir-874/874
hsa-mir-873	hsa-miR-873-5p	mir-873/5p
hsa-mir-873	hsa-miR-873-3p	mir-873/3p
hsa-mir-873	hsa-miR-873	mir-873/873
hsa-mir-7843	hsa-miR-7843-5p	mir-7843/5p
hsa-mir-7843	hsa-miR-7843-3p	mir-7843/3p
hsa-mir-770	hsa-miR-770-5p	mir-770/5p
hsa-mir-770	hsa-miR-770-5p	mir-770/5p
hsa-mir-769	hsa-miR-769-5p	mir-769/5p
hsa-mir-769	hsa-miR-769-3p	mir-769/3p
hsa-mir-767	hsa-miR-767-5p	mir-767/5p
