mature	precursor	alias
hsa-let-7a-1	hsa-let-7a	let-7a-1/7a
hsa-let-7a-1	hsa-let-7a*	let-7a-1/7a*
hsa-let-7a-2	hsa-let-7a-2*	let-7a-2/2*
hsa-let-7a-2	hsa-let-7a	let-7a-2/7a
hsa-let-7a-3	hsa-let-7a	let-7a-3/7a
hsa-let-7a-3	hsa-let-7a*	let-7a-3/7a*
hsa-let-7b	hsa-let-7b	let-7b/7b
hsa-let-7b	hsa-let-7b*	let-7b/7b*
hsa-let-7c	hsa-let-7c	let-7c/7c
hsa-let-7d	hsa-let-7d	let-7d/7d
hsa-let-7d	hsa-let-7d*	let-7d/7d*
hsa-let-7e	hsa-let-7e	let-7e/7e
hsa-let-7e	hsa-let-7e*	let-7e/7e*
hsa-let-7f-1	hsa-let-7f	let-7f-1/7f
hsa-let-7f-1	hsa-let-7f-1*	let-7f-1/1*
hsa-let-7f-2	hsa-let-7f-2*	let-7f-2/2*
hsa-let-7f-2	hsa-let-7f	let-7f-2/7f
hsa-let-7g	hsa-let-7g	let-7g/7g
hsa-let-7g	hsa-let-7g*	let-7g/7g*
hsa-let-7i	hsa-let-7i	let-7i/7i
hsa-let-7i	hsa-let-7i*	let-7i/7i*
hsa-mir-1-1	hsa-miR-1	mir-1-1/1
hsa-mir-1-2	hsa-miR-1	mir-1-2/1
hsa-mir-100	hsa-miR-100	mir-100/100
hsa-mir-100	hsa-miR-100*	mir-100/100*
hsa-mir-101-1	hsa-miR-101*	mir-101-1/101*
hsa-mir-101-1	hsa-miR-101	mir-101-1/101
hsa-mir-101-2	hsa-miR-101	mir-101-2/101
hsa-mir-103a-1	hsa-miR-103a	mir-103a-1/103a
hsa-mir-103a-2	hsa-miR-103a-2*	mir-103a-2/2*
hsa-mir-103a-2	hsa-miR-103a	mir-103a-2/103a
hsa-mir-103b-1	hsa-miR-103b	mir-103b-1/103b
hsa-mir-103b-2	hsa-miR-103b	mir-103b-2/103b
hsa-mir-105-1	hsa-miR-105	mir-105-1/105
hsa-mir-105-1	hsa-miR-105*	mir-105-1/105*
hsa-mir-105-2	hsa-miR-105	mir-105-2/105
hsa-mir-105-2	hsa-miR-105*	mir-105-2/105*
hsa-mir-106a	hsa-miR-106a	mir-106a/106a
hsa-mir-106a	hsa-miR-106a*	mir-106a/106a*
hsa-mir-106b	hsa-miR-106b	mir-106b/106b
hsa-mir-106b	hsa-miR-106b*	mir-106b/106b*
hsa-mir-107	hsa-miR-107	mir-107/107
hsa-mir-10a	hsa-miR-10a	mir-10a/10a
hsa-mir-10a	hsa-miR-10a*	mir-10a/10a*
hsa-mir-10b	hsa-miR-10b	mir-10b/10b
hsa-mir-10b	hsa-miR-10b*	mir-10b/10b*
hsa-mir-1178	hsa-miR-1178	mir-1178/1178
hsa-mir-1179	hsa-miR-1179	mir-1179/1179
hsa-mir-1180	hsa-miR-1180	mir-1180/1180
hsa-mir-1181	hsa-miR-1181	mir-1181/1181
hsa-mir-1182	hsa-miR-1182	mir-1182/1182
hsa-mir-1183	hsa-miR-1183	mir-1183/1183
hsa-mir-1184-1	hsa-miR-1184	mir-1184-1/1184
hsa-mir-1184-2	hsa-miR-1184	mir-1184-2/1184
hsa-mir-1184-3	hsa-miR-1184	mir-1184-3/1184
hsa-mir-1185-1	hsa-miR-1185	mir-1185-1/1185
hsa-mir-1185-2	hsa-miR-1185	mir-1185-2/1185
hsa-mir-1193	hsa-miR-1193	mir-1193/1193
hsa-mir-1197	hsa-miR-1197	mir-1197/1197
hsa-mir-1200	hsa-miR-1200	mir-1200/1200
hsa-mir-1202	hsa-miR-1202	mir-1202/1202
hsa-mir-1203	hsa-miR-1203	mir-1203/1203
hsa-mir-1204	hsa-miR-1204	mir-1204/1204
hsa-mir-1205	hsa-miR-1205	mir-1205/1205
hsa-mir-1206	hsa-miR-1206	mir-1206/1206
hsa-mir-1207	hsa-miR-1207-5p	mir-1207/5p
hsa-mir-1207	hsa-miR-1207-3p	mir-1207/3p
hsa-mir-1208	hsa-miR-1208	mir-1208/1208
hsa-mir-122	hsa-miR-122	mir-122/122
hsa-mir-122	hsa-miR-122*	mir-122/122*
hsa-mir-1224	hsa-miR-1224-5p	mir-1224/5p
hsa-mir-1224	hsa-miR-1224-3p	mir-1224/3p
hsa-mir-1225	hsa-miR-1225-5p	mir-1225/5p
hsa-mir-1225	hsa-miR-1225-3p	mir-1225/3p
hsa-mir-1226	hsa-miR-1226*	mir-1226/1226*
hsa-mir-1226	hsa-miR-1226	mir-1226/1226
hsa-mir-1227	hsa-miR-1227	mir-1227/1227
hsa-mir-1228	hsa-miR-1228*	mir-1228/1228*
hsa-mir-1228	hsa-miR-1228	mir-1228/1228
hsa-mir-1229	hsa-miR-1229	mir-1229/1229
hsa-mir-1231	hsa-miR-1231	mir-1231/1231
hsa-mir-1233-1	hsa-miR-1233	mir-1233-1/1233
hsa-mir-1233-2	hsa-miR-1233	mir-1233-2/1233
hsa-mir-1234	hsa-miR-1234	mir-1234/1234
hsa-mir-1236	hsa-miR-1236	mir-1236/1236
hsa-mir-1237	hsa-miR-1237	mir-1237/1237
hsa-mir-1238	hsa-miR-1238	mir-1238/1238
hsa-mir-124-1	hsa-miR-124*	mir-124-1/124*
hsa-mir-124-1	hsa-miR-124	mir-124-1/124
hsa-mir-124-2	hsa-miR-124*	mir-124-2/124*
hsa-mir-124-2	hsa-miR-124	mir-124-2/124
hsa-mir-124-3	hsa-miR-124*	mir-124-3/124*
hsa-mir-124-3	hsa-miR-124	mir-124-3/124
hsa-mir-1243	hsa-miR-1243	mir-1243/1243
hsa-mir-1244-1	hsa-miR-1244	mir-1244-1/1244
hsa-mir-1244-2	hsa-miR-1244	mir-1244-2/1244
hsa-mir-1244-3	hsa-miR-1244	mir-1244-3/1244
hsa-mir-1245	hsa-miR-1245	mir-1245/1245
hsa-mir-1245b	hsa-miR-1245b-5p	mir-1245b/5p
hsa-mir-1245b	hsa-miR-1245b-3p	mir-1245b/3p
hsa-mir-1246	hsa-miR-1246	mir-1246/1246
hsa-mir-1247	hsa-miR-1247	mir-1247/1247
hsa-mir-1248	hsa-miR-1248	mir-1248/1248
hsa-mir-1249	hsa-miR-1249	mir-1249/1249
hsa-mir-1250	hsa-miR-1250	mir-1250/1250
hsa-mir-1251	hsa-miR-1251	mir-1251/1251
hsa-mir-1252	hsa-miR-1252	mir-1252/1252
hsa-mir-1253	hsa-miR-1253	mir-1253/1253
hsa-mir-1254	hsa-miR-1254	mir-1254/1254
hsa-mir-1254-2	hsa-miR-1254	mir-1254-2/1254
hsa-mir-1255a	hsa-miR-1255a	mir-1255a/1255a
hsa-mir-1255b-1	hsa-miR-1255b	mir-1255b-1/1255b
hsa-mir-1255b-2	hsa-miR-1255b	mir-1255b-2/1255b
