mature	genome_ID
hsa-let-7a	hsa-let-7a-1
hsa-let-7a	hsa-let-7a-2
hsa-let-7a	hsa-let-7a-3
hsa-let-7a-2*	hsa-let-7a-2
hsa-let-7a*	hsa-let-7a-1
hsa-let-7a*	hsa-let-7a-3
hsa-let-7b	hsa-let-7b
hsa-let-7b*	hsa-let-7b
hsa-let-7c	hsa-let-7c
hsa-let-7c*	hsa-let-7c
hsa-let-7d	hsa-let-7d
hsa-let-7d*	hsa-let-7d
hsa-let-7e	hsa-let-7e
hsa-let-7e*	hsa-let-7e
hsa-let-7f	hsa-let-7f-1
hsa-let-7f	hsa-let-7f-2
hsa-let-7f-1*	hsa-let-7f-1
hsa-let-7f-2*	hsa-let-7f-2
hsa-let-7g	hsa-let-7g
hsa-let-7g*	hsa-let-7g
hsa-let-7i	hsa-let-7i
hsa-let-7i*	hsa-let-7i
hsa-miR-1	hsa-mir-1-1
hsa-miR-1	hsa-mir-1-2
hsa-miR-100	hsa-mir-100
hsa-miR-100*	hsa-mir-100
hsa-miR-101	hsa-mir-101-1
hsa-miR-101	hsa-mir-101-2
hsa-miR-101*	hsa-mir-101-1
hsa-miR-103	hsa-mir-103-1
hsa-miR-103	hsa-mir-103-2
hsa-miR-103-2*	hsa-mir-103-2
hsa-miR-103-as	hsa-mir-103-1-as
hsa-miR-103-as	hsa-mir-103-2-as
hsa-miR-105	hsa-mir-105-1
hsa-miR-105	hsa-mir-105-2
hsa-miR-105*	hsa-mir-105-1
hsa-miR-105*	hsa-mir-105-2
hsa-miR-106a	hsa-mir-106a
hsa-miR-106a*	hsa-mir-106a
hsa-miR-106b	hsa-mir-106b
hsa-miR-106b*	hsa-mir-106b
hsa-miR-107	hsa-mir-107
hsa-miR-10a	hsa-mir-10a
hsa-miR-10a*	hsa-mir-10a
hsa-miR-10b	hsa-mir-10b
hsa-miR-10b*	hsa-mir-10b
hsa-miR-1178	hsa-mir-1178
hsa-miR-1179	hsa-mir-1179
hsa-miR-1180	hsa-mir-1180
hsa-miR-1181	hsa-mir-1181
hsa-miR-1182	hsa-mir-1182
hsa-miR-1183	hsa-mir-1183
hsa-miR-1184	hsa-mir-1184
hsa-miR-1185	hsa-mir-1185-1
hsa-miR-1185	hsa-mir-1185-2
hsa-miR-1197	hsa-mir-1197
hsa-miR-1200	hsa-mir-1200
hsa-miR-1201	hsa-mir-1201
hsa-miR-1202	hsa-mir-1202
hsa-miR-1203	hsa-mir-1203
hsa-miR-1204	hsa-mir-1204
hsa-miR-1205	hsa-mir-1205
hsa-miR-1206	hsa-mir-1206
hsa-miR-1207-3p	hsa-mir-1207
hsa-miR-1207-5p	hsa-mir-1207
hsa-miR-1208	hsa-mir-1208
hsa-miR-122	hsa-mir-122
hsa-miR-122*	hsa-mir-122
hsa-miR-1224-3p	hsa-mir-1224
hsa-miR-1224-5p	hsa-mir-1224
hsa-miR-1225-3p	hsa-mir-1225
hsa-miR-1225-5p	hsa-mir-1225
hsa-miR-1226	hsa-mir-1226
hsa-miR-1226*	hsa-mir-1226
hsa-miR-1227	hsa-mir-1227
hsa-miR-1228	hsa-mir-1228
hsa-miR-1228*	hsa-mir-1228
hsa-miR-1229	hsa-mir-1229
hsa-miR-1231	hsa-mir-1231
hsa-miR-1233	hsa-mir-1233
hsa-miR-1234	hsa-mir-1234
hsa-miR-1236	hsa-mir-1236
hsa-miR-1237	hsa-mir-1237
hsa-miR-1238	hsa-mir-1238
hsa-miR-124	hsa-mir-124-1
hsa-miR-124	hsa-mir-124-2
hsa-miR-124	hsa-mir-124-3
hsa-miR-124*	hsa-mir-124-1
hsa-miR-124*	hsa-mir-124-2
hsa-miR-124*	hsa-mir-124-3
hsa-miR-1243	hsa-mir-1243
hsa-miR-1244	hsa-mir-1244
hsa-miR-1245	hsa-mir-1245
hsa-miR-1246	hsa-mir-1246
hsa-miR-1247	hsa-mir-1247
hsa-miR-1248	hsa-mir-1248
hsa-miR-1249	hsa-mir-1249
hsa-miR-1250	hsa-mir-1250
hsa-miR-1251	hsa-mir-1251
hsa-miR-1252	hsa-mir-1252
hsa-miR-1253	hsa-mir-1253
hsa-miR-1254	hsa-mir-1254
hsa-miR-1255a	hsa-mir-1255a
hsa-miR-1255b	hsa-mir-1255b-1
hsa-miR-1255b	hsa-mir-1255b-2
hsa-miR-1256	hsa-mir-1256
hsa-miR-1257	hsa-mir-1257
hsa-miR-1258	hsa-mir-1258
hsa-miR-1259	hsa-mir-1259
hsa-miR-125a-3p	hsa-mir-125a
hsa-miR-125a-5p	hsa-mir-125a
hsa-miR-125b	hsa-mir-125b-1
hsa-miR-125b	hsa-mir-125b-2
hsa-miR-125b-1*	hsa-mir-125b-1
hsa-miR-125b-2*	hsa-mir-125b-2
hsa-miR-126	hsa-mir-126
hsa-miR-126*	hsa-mir-126
hsa-miR-1260	hsa-mir-1260
hsa-miR-1261	hsa-mir-1261
hsa-miR-1262	hsa-mir-1262
hsa-miR-1263	hsa-mir-1263
hsa-miR-1264	hsa-mir-1264
hsa-miR-1265	hsa-mir-1265
hsa-miR-1266	hsa-mir-1266
hsa-miR-1267	hsa-mir-1267
hsa-miR-1268	hsa-mir-1268
hsa-miR-1269	hsa-mir-1269
hsa-miR-127-3p	hsa-mir-127
hsa-miR-127-5p	hsa-mir-127
hsa-miR-1270	hsa-mir-1270
hsa-miR-1271	hsa-mir-1271
hsa-miR-1272	hsa-mir-1272
hsa-miR-1273	hsa-mir-1273
