Symbol	Entrez	Ensembl
A1BG	1	ENSG00000121410
A1BG-AS1	503538	ENSG00000268895
A1CF	29974	ENSG00000148584
A2M	2	ENSG00000175899
A2M-AS1	144571	ENSG00000245105
A2ML1	144568	ENSG00000166535
A2ML1-AS1		ENSG00000256661
A2ML1-AS2		ENSG00000256904
A2MP1	3	ENSG00000256069
A3GALT2	127550	ENSG00000184389
A4GALT	53947	ENSG00000128274
A4GNT	51146	ENSG00000118017
AAAS	8086	ENSG00000094914
AACS	65985	ENSG00000081760
AACSP1	729522	ENSG00000250420
AADAC  	13	ENSG00000114771
AADACL2	344752	ENSG00000197953
AADACL2-AS1	101928142	ENSG00000242908
AADACL3	126767	ENSG00000188984
AADACL4	343066	ENSG00000204518
AADACP1	201651	ENSG00000240602
AADAT	51166	ENSG00000109576
AAED1	195827	ENSG00000158122
AAGAB	79719	ENSG00000103591
AAK1	22848	ENSG00000115977
AAMDC	28971	ENSG00000087884
AAMP	14	ENSG00000127837
AANAT	15	ENSG00000129673
AAR2	25980	ENSG00000131043
AARD	441376	ENSG00000205002
AARS	16	ENSG00000090861
AARS2	57505	ENSG00000124608
AARSD1	80755	ENSG00000266967
AARSP1		ENSG00000249038
AASDH	132949	ENSG00000157426
AASDHPPT	60496	ENSG00000149313
AASS	10157	ENSG00000008311
AATF	26574	ENSG00000108270
AATK	9625	ENSG00000181409
AATK-AS1	388428	ENSG00000225180
AAVS1	17	
ABALON	103021294	
ABAT	18	ENSG00000183044
ABCA1	19	ENSG00000165029
ABCA2	20	ENSG00000107331
ABCA3	21	ENSG00000167972
ABCA4	24	ENSG00000198691
ABCA5	23461	ENSG00000154265
ABCA6	23460	ENSG00000154262
ABCA7	10347	ENSG00000064687
ABCA8	10351	ENSG00000141338
ABCA9	10350	ENSG00000154258
ABCA9-AS1		ENSG00000231749
ABCA10	10349	ENSG00000154263
ABCA11P	79963	ENSG00000251595
ABCA12	26154	ENSG00000144452
ABCA13	154664	ENSG00000179869
ABCA17P	650655	ENSG00000238098
ABCB1	5243	ENSG00000085563
ABCB4	5244	ENSG00000005471
ABCB5	340273	ENSG00000004846
ABCB6	10058	ENSG00000115657
ABCB7	22	ENSG00000131269
ABCB8	11194	ENSG00000197150
ABCB9	23457	ENSG00000150967
ABCB10	23456	ENSG00000135776
ABCB10P1	56476	ENSG00000259689
ABCB10P3	728248	
ABCB10P4	100132289	
ABCB11	8647	ENSG00000073734
ABCC1	4363	ENSG00000103222
ABCC2	1244	ENSG00000023839
ABCC3	8714	ENSG00000108846
ABCC4	10257	ENSG00000125257
ABCC5	10057	ENSG00000114770
ABCC5-AS1		ENSG00000223882
ABCC6	368	ENSG00000091262
ABCC6P1	653190	ENSG00000256340
ABCC6P2	730013	ENSG00000255277
ABCC8	6833	ENSG00000006071
ABCC9	10060	ENSG00000069431
ABCC10	89845	ENSG00000124574
ABCC11	85320	ENSG00000121270
ABCC12	94160	ENSG00000140798
ABCC13	150000	ENSG00000243064
ABCD1	215	ENSG00000101986
ABCD1P1	23785	
ABCD1P2	26983	ENSG00000215151
ABCD1P3	26982	ENSG00000261233
ABCD1P4	26957	ENSG00000225293
ABCD1P5	642762	ENSG00000214330
ABCD2	225	ENSG00000173208
ABCD3	5825	ENSG00000117528
ABCD4	5826	ENSG00000119688
ABCE1	6059	ENSG00000164163
ABCF1	23	ENSG00000204574
ABCF2	10061	ENSG00000033050
ABCF2P1	344653	ENSG00000242159
ABCF2P2	100422059	ENSG00000228769
ABCF3	55324	ENSG00000161204
ABCG1	9619	ENSG00000160179
ABCG2	9429	ENSG00000118777
ABCG4	64137	ENSG00000172350
ABCG5	64240	ENSG00000138075
ABCG8	64241	ENSG00000143921
ABHD1	84696	ENSG00000143994
ABHD2	11057	ENSG00000140526
ABHD3	171586	ENSG00000158201
ABHD4	63874	ENSG00000100439
ABHD5	51099	ENSG00000011198
ABHD6	57406	ENSG00000163686
ABHD8	79575	ENSG00000127220
