legacy_id	new_id
DMP0004	P-0000004-T01
DMP0002	P-0000012-T02
DMP0001	P-0000012-T03
DMP0003	P-0000015-T01
DMP0015	P-0000023-T01
DMP0005	P-0000024-T01
DMP0008	P-0000025-T01
DMP0006	P-0000026-T01
DMP0013	P-0000027-T01
DMP0011	P-0000028-T01
DMP0012	P-0000029-T01
DMP0017	P-0000030-T01
DMP0007	P-0000034-T01
DMP0016	P-0000036-T01
DMP0009	P-0000037-T01
DMP0014	P-0000039-T01
DMP0023	P-0000041-T01
DMP0019	P-0000042-T01
DMP0021	P-0000044-T01
DMP0020	P-0000047-T01
DMP0018	P-0000053-T01
DMP0028	P-0000055-T01
DMP0027	P-0000056-T01
DMP0033	P-0000057-T01
DMP0031	P-0000058-T01
DMP0037	P-0000059-T01
DMP0029	P-0000060-T01
DMP0032	P-0000061-T01
DMP0039	P-0000062-T01
DMP0034	P-0000063-T01
DMP0036	P-0000065-T01
DMP0030	P-0000066-T01
DMP0026	P-0000067-T01
DMP0035	P-0000068-T01
DMP0025	P-0000069-T01
DMP0038	P-0000037-T02
DMP0024	P-0000071-T01
DMP0040	P-0000073-T01
DMP0085	P-0000075-T01
DMP0088	P-0000076-T01
DMP0089	P-0000077-T01
DMP0079	P-0000079-T01
DMP0090	P-0000080-T01
DMP0091	P-0000081-T01
DMP0083	P-0000082-T01
DMP0086	P-0000084-T01
DMP0084	P-0000086-T01
DMP0093	P-0000092-T01
DMP0092	P-0000093-T01
DMP0095	P-0000096-T01
DMP0094	P-0000098-T01
DMP0110	P-0000103-T01
DMP0114	P-0000104-T01
DMP0107	P-0000105-T01
DMP0109	P-0000106-T01
DMP0103	P-0000107-T01
DMP0097	P-0000108-T01
DMP0100	P-0000110-T01
DMP0099	P-0000111-T01
DMP0096	P-0000112-T01
DMP0101	P-0000113-T01
DMP0111	P-0000114-T01
DMP0105	P-0000115-T01
DMP0113	P-0000116-T01
DMP0102	P-0000117-T01
DMP0108	P-0000118-T01
DMP0104	P-0000119-T01
DMP0112	P-0000120-T01
DMP0098	P-0000121-T01
DMP0106	P-0000122-T01
DMP0129	P-0000123-T01
DMP0115	P-0000125-T01
DMP0118	P-0000126-T01
DMP0123	P-0000127-T01
DMP0122	P-0000127-T02
DMP0126	P-0000129-T01
DMP0070	P-0000130-T01
DMP0119	P-0000131-T01
DMP0128	P-0000132-T01
DMP0116	P-0000133-T01
DMP0131	P-0000134-T01
DMP0121	P-0000135-T01
DMP0127	P-0000136-T01
DMP0124	P-0000137-T01
DMP0125	P-0000138-T01
DMP0117	P-0000140-T01
DMP0120	P-0000141-T01
DMP0130	P-0000142-T01
DMP0139	P-0000143-T01
DMP0134	P-0000144-T01
DMP0135	P-0000145-T01
DMP0058	P-0000146-T01
DMP0148	P-0000147-T01
DMP0144	P-0000148-T01
DMP0136	P-0000149-T01
DMP0137	P-0000149-T02
DMP0143	P-0000151-T01
DMP0141	P-0000152-T01
DMP0133	P-0000153-T01
DMP0138	P-0000154-T01
DMP0147	P-0000155-T01
DMP0142	P-0000156-T01
DMP0146	P-0000157-T01
DMP0145	P-0000158-T01
DMP0157	P-0000159-T01
DMP0163	P-0000160-T01
DMP0162	P-0000161-T01
DMP0149	P-0000162-T01
DMP0154	P-0000163-T01
DMP0155	P-0000163-T02
DMP0151	P-0000165-T01
DMP0153	P-0000167-T01
DMP0159	P-0000168-T01
DMP0161	P-0000170-T01
DMP0160	P-0000171-T01
DMP0152	P-0000167-T02
DMP0156	P-0000174-T01
DMP0150	P-0000178-T01
DMP0158	P-0000180-T01
DMP0167	P-0000181-T01
DMP0259	P-0000083-T01
DMP0171	P-0000182-T01
DMP0168	P-0000183-T01
DMP0170	P-0000184-T01
DMP0169	P-0000185-T01
DMP0175	P-0000186-T01
DMP0165	P-0000088-T01
DMP0166	P-0000187-T01
DMP0174	P-0000188-T01
DMP0087	P-0000085-T02
DMP0080	P-0000102-T02
DMP0172	P-0000148-T02
DMP0173	P-0000189-T01
DMP0178	P-0000190-T01
DMP0186	P-0000191-T01
DMP0184	P-0000193-T01
DMP0179	P-0000195-T01
DMP0187	P-0000196-T01
DMP0181	P-0000197-T01
DMP0180	P-0000198-T01
DMP0183	P-0000199-T01
DMP0176	P-0000201-T01
DMP0182	P-0000202-T01
DMP0177	P-0000203-T01
DMP0188	P-0000204-T01
DMP0185	P-0000205-T01
DMP0190	P-0000206-T01
DMP0198	P-0000207-T01
DMP0193	P-0000208-T01
DMP0199	P-0000210-T01
DMP0189	P-0000211-T01
DMP0191	P-0000212-T01
DMP0194	P-0000214-T01
DMP0197	P-0000215-T01
DMP0195	P-0000216-T01
DMP2317	P-0000217-T01
DMP0196	P-0000218-T01
DMP0192	P-0000219-T01
DMP0207	P-0000220-T01
DMP0205	P-0000221-T01
DMP0206	P-0000222-T01
DMP0202	P-0000223-T01
DMP0209	P-0000224-T01
DMP0201	P-0000225-T01
DMP0204	P-0000226-T01
DMP0203	P-0000227-T01
DMP0200	P-0000228-T01
DMP0208	P-0000230-T01
DMP0210	P-0000231-T01
DMP0211	P-0000232-T01
DMP0218	P-0000233-T01
DMP0215	P-0000234-T01
DMP0212	P-0000235-T01
DMP0222	P-0000236-T01
DMP0221	P-0000237-T01
DMP0223	P-0000238-T01
DMP0217	P-0000239-T01
DMP0226	P-0000240-T01
DMP0224	P-0000241-T01
DMP0214	P-0000242-T01
DMP0213	P-0000242-T02
DMP0216	P-0000244-T01
DMP0225	P-0000245-T01
DMP0219	P-0000246-T01
DMP0220	P-0000247-T01
DMP0228	P-0000250-T01
DMP0230	P-0000252-T01
DMP2273	P-0000257-T01
DMP0236	P-0000259-T01
DMP0229	P-0000260-T01
DMP0234	P-0000261-T01
DMP0233	P-0000263-T01
DMP0232	P-0000266-T01
DMP0249	P-0000267-T01
DMP0245	P-0000268-T01
DMP0243	P-0000269-T01
DMP0240	P-0000270-T01
DMP0238	P-0000271-T01
DMP0239	P-0000272-T01
DMP0248	P-0000273-T01
DMP0237	P-0000274-T01
DMP0246	P-0000275-T01
DMP0241	P-0000276-T01
DMP0242	P-0000277-T01
DMP0247	P-0000278-T01
DMP0244	P-0000279-T01
DMP0253	P-0000280-T01
DMP0251	P-0000281-T01
DMP0256	P-0000282-T01
DMP0263	P-0000283-T01
DMP0254	P-0000284-T01
DMP0261	P-0000285-T01
DMP0265	P-0000286-T01
DMP0258	P-0000287-T01
DMP0252	P-0000288-T01
DMP0264	P-0000095-T01
DMP0257	P-0000289-T01
DMP0250	P-0000290-T01
DMP0260	P-0000291-T01
DMP0255	P-0000292-T01
DMP0262	P-0000293-T01
DMP0268	P-0000295-T01
DMP0276	P-0000296-T01
DMP0272	P-0000298-T01
DMP0266	P-0000299-T01
DMP0273	P-0000300-T01
DMP0277	P-0000301-T01
DMP0269	P-0000302-T01
DMP0275	P-0000303-T01
DMP0267	P-0000306-T01
DMP0271	P-0000307-T01
DMP0270	P-0000308-T01
DMP0274	P-0000309-T01
DMP0280	P-0000313-T01
DMP0281	P-0000314-T01
DMP0289	P-0000315-T01
DMP0291	P-0000316-T01
DMP0282	P-0000317-T01
DMP0288	P-0000318-T01
DMP0286	P-0000319-T01
DMP0279	P-0000320-T01
DMP0287	P-0000322-T01
DMP0283	P-0000323-T01
DMP0292	P-0000324-T01
DMP0290	P-0000325-T01
DMP0285	P-0000326-T01
DMP0302	P-0000327-T01
DMP0305	P-0000328-T01
DMP0301	P-0000329-T01
DMP0295	P-0000332-T01
DMP0296	P-0000333-T01
DMP0300	P-0000334-T01
DMP0294	P-0000335-T01
DMP0297	P-0000336-T01
DMP0298	P-0000337-T01
DMP0299	P-0000339-T01
DMP0293	P-0000043-T02
DMP0303	P-0000340-T01
DMP0309	P-0000341-T01
DMP0308	P-0000342-T01
DMP0311	P-0000343-T01
DMP0318	P-0000344-T01
DMP0317	P-0000345-T01
DMP0307	P-0000346-T01
DMP0315	P-0000347-T01
DMP0319	P-0000348-T01
DMP0313	P-0000349-T01
DMP0312	P-0000351-T01
DMP0310	P-0000352-T01
DMP0316	P-0000353-T01
DMP0306	P-0000354-T01
DMP0330	P-0000355-T01
DMP0332	P-0000356-T01
DMP0328	P-0000357-T01
DMP0334	P-0000358-T01
DMP0326	P-0000359-T01
DMP0323	P-0000360-T01
DMP0322	P-0000361-T01
DMP0333	P-0000362-T01
DMP0321	P-0000363-T01
DMP0331	P-0000364-T01
DMP0320	P-0000365-T01
DMP0327	P-0000366-T01
DMP0329	P-0000367-T01
DMP0324	P-0000368-T01
DMP0325	P-0000369-T01
DMP0344	P-0000370-T01
DMP0335	P-0000371-T01
DMP0345	P-0000372-T01
