rank	gene	description	N	n	CpG_transition	other_CG_transition	CG_transversion	AT_mutation	indelPlusnull	p	q
1	USP17	ubiquitin specific peptidase 17	22137	6	1	3	2	0	0	<1.00e-11	<7.93e-08
2	ROCK2	Rho-associated, coiled-coil containing protein kinase 2	491448	21	0	0	0	0	21	<1.00e-11	<7.93e-08
3	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	77679	6	0	3	2	1	0	1.26e-11	7.93e-08
4	SLA2	Src-like-adaptor 2	91925	5	0	0	0	0	5	2.74e-11	1.29e-07
5	TP53	tumor protein p53	150636	7	2	2	0	2	1	4.40e-11	1.45e-07
6	CBFA2T3	core-binding factor, runt domain, alpha subunit 2; translocated to, 3	15408	4	0	0	4	0	0	4.61e-11	1.45e-07
7	SKAP1	src kinase associated phosphoprotein 1	122985	5	0	0	0	0	5	9.32e-11	2.51e-07
8	ENTPD2	ectonucleoside triphosphate diphosphohydrolase 2	24924	3	0	0	0	0	3	1.00e-08	0.000024
9	RASA1	RAS p21 protein activator (GTPase activating protein) 1	332404	5	0	0	0	0	5	1.65e-08	0.000035
10	DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	286014	6	3	0	1	0	2	2.48e-08	0.000047
11	ESRRA	estrogen-related receptor alpha	99962	4	0	0	0	3	1	7.89e-08	0.00014
12	MUC6	mucin 6, oligomeric mucus/gel-forming	459710	7	0	3	3	1	0	1.24e-07	0.00019
13	PRAMEF2	PRAME family member 2	165644	4	1	0	0	3	0	1.22e-06	0.0018
14	SFRS2	splicing factor, arginine/serine-rich 2	53230	3	0	2	1	0	0	4.27e-06	0.0058
15	IDH3G	isocitrate dehydrogenase 3 (NAD+) gamma	86290	3	0	0	3	0	0	7.06e-06	0.0089
16	EIF3E	eukaryotic translation initiation factor 3, subunit E	155490	3	0	0	0	0	3	7.87e-06	0.0093
17	U2AF1	U2 small nuclear RNA auxiliary factor 1	90264	3	0	2	0	1	0	0.000016	0.017
18	IL17RA	interleukin 17 receptor A	175307	4	0	2	1	1	0	0.000018	0.018
19	RUNDC3B	RUN domain containing 3B	154276	3	0	0	3	0	0	0.000018	0.018
20	CEACAM16	carcinoembryonic antigen-related cell adhesion molecule 16	109866	3	0	0	3	0	0	0.000019	0.018
21	ZNF706	zinc finger protein 706	27570	2	0	0	2	0	0	0.000023	0.021
22	CD2BP2	CD2 (cytoplasmic tail) binding protein 2	120674	3	0	0	3	0	0	0.000027	0.022
23	FAM167A		69383	3	0	1	2	0	0	0.000027	0.022
24	TJAP1	tight junction associated protein 1 (peripheral)	164643	3	0	0	0	3	0	0.000028	0.022
25	PTPN11	protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)	214407	4	0	1	1	2	0	0.000030	0.022
26	KBTBD5	kelch repeat and BTB (POZ) domain containing 5	170196	3	0	0	0	3	0	0.000034	0.024
27	CDC27	cell division cycle 27 homolog (S. cerevisiae)	285653	4	0	0	2	2	0	0.000037	0.026
28	DMXL2	Dmx-like 2	1080521	5	0	5	0	0	0	0.000040	0.027
29	SIRT6	sirtuin (silent mating type information regulation 2 homolog) 6 (S. cerevisiae)	44225	2	0	0	0	2	0	0.000046	0.030
30	FAM5C	family with sequence similarity 5, member C	270842	3	3	0	0	0	0	0.000053	0.033
31	GATA2	GATA binding protein 2	100692	3	1	2	0	0	0	0.000058	0.034
