Symbol	Name	GeneID	Chr	Chr Band	Cancer Somatic Mut	Cancer Germline Mut	Tumour Types  (Somatic Mutations)	Tumour Types (Germline Mutations)	Cancer Syndrome	Tissue Type	Cancer Molecular Genetics	Mutation Type 	Translocation Partner	Other Germline Mut	Other Syndrome/Disease
ABL1	v-abl Abelson murine leukemia viral oncogene homolog 1	25	9	9q34.1 	yes		"CML, ALL, T-ALL"			L	Dom	"T, Mis"	"BCR, ETV6, NUP214"		
ABL2	v-abl Abelson murine leukemia viral oncogene homolog 2	27	1	1q24-q25 	yes		AML			L	Dom	T	ETV6		
ACSL3	acyl-CoA synthetase long-chain family member 3	2181	2	2q36	yes		prostate			E	Dom	T	ETV1		
AF15Q14	AF15q14 protein	57082	15	15q14	yes		AML			L	Dom	T	MLL		
AF1Q	ALL1-fused gene from cytoband 1q	10962	1	1q21 	yes		ALL			L	Dom	T	MLL
AF3p21	"SH3 protein interacting with Nck, 90 kDa (ALL1 fused gene from 3p21)"	51517	3	3p21	yes		ALL			L	Dom	T	MLL		
AF5q31	ALL1 fused gene from 5q31	27125	5	5q31 	yes		ALL			L	Dom	T	MLL		
AKAP9	A kinase (PRKA) anchor protein (yotiao) 9	10142	7	7q21-q22	yes		papillary thyroid			E	Dom	T	BRAF		
AKT1	v-akt murine thymoma viral oncogene homolog 1	207	14	14q32.32	yes		"breast, colorectal, ovarian, NSCLC"			E	Dom	Mis			
AKT2	v-akt murine thymoma viral oncogene homolog 2	208	19	19q13.1-q13.2 	yes		"ovarian, pancreatic "			E	Dom	A			
ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	217	12	12q24.2	yes		leiomyoma			M	Dom	T	HMGA2		
ALK	anaplastic lymphoma kinase (Ki-1)	238	2	2p23 	yes	yes	"ALCL, NSCLC, Neuroblastoma"	neuroblastoma	Familial neuroblastoma	"L, E, M"	Dom	"T, Mis, A"	"NPM1, TPM3, TFG, TPM4, ATIC, CLTC, MSN, ALO17, CARS, EML4"		
ALO17	KIAA1618 protein	57674	17	17q25.3	yes		ALCL			L	Dom	T	ALK		
APC	adenomatous polyposis of the colon gene	324	5	5q21	yes	yes	"colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS"	"colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS"	Adenomatous polyposis coli; Turcot syndrome	"E, M, O"	Rec	"D, Mis, N, F, S"			
